market,code,name,signal,entry_price,close,high,n_high,n_high_ratio,atr,low,n_low,last_close
KR,26490K,크라운제과우,청산,,7750.0,7930.0,7950.0,0.9975,251.0,7570.0,7630.0,7850.0
KR,004835,덕성우,청산,,4205.0,4250.0,4505.0,0.9434,335.5,4150.0,4180.0,
KR,004985,성신양회우,탈락,,8440.0,8750.0,8510.0,1.0282,335.0,8210.0,7920.0,
KR,001065,JW중외제약우,탈락,,22800.0,23950.0,23900.0,1.0021,755.0,22500.0,22400.0,
KR,000145,하이트진로홀딩스우,청산,,9090.0,9190.0,9680.0,0.9494,271.0,9090.0,9090.0,
KR,005965,동부건설우,청산,,17300.0,17320.0,17550.0,0.9869,239.0,17010.0,17090.0,
KR,007575,일양약품우,탈락,,8200.0,8240.0,8240.0,1.0,347.0,8030.0,7710.0,
KR,014825,동원시스템즈우,청산,,13620.0,14070.0,14370.0,0.9791,320.0,13620.0,13710.0,
KR,014285,금강공업우,청산,,5320.0,5470.0,5490.0,0.9964,164.0,5200.0,5250.0,
KR,005745,크라운해태홀딩스우,탈락,,5270.0,5440.0,5450.0,0.9982,168.0,5230.0,5220.0,
KR,004545,깨끗한나라우,탈락,,4545.0,4550.0,4570.0,0.9956,166.5,4460.0,4205.0,
KR,002787,진흥기업2우B,청산,,2895.0,0.0,0.0,,2895.0,0.0,0.0,
KR,002785,진흥기업우B,청산,,1336.0,0.0,0.0,,1336.0,0.0,0.0,
KR,001060,JW중외제약,확정,27850.0,27800.0,27950.0,27800.0,1.0054,1170.0,26850.0,26450.0,
KR,004920,씨아이테크,확정,925.0,923.0,928.0,924.0,1.0043,34.1,904.0,881.0,
KR,002360,SH에너지화학,확정,1600.0,1588.0,1590.0,1595.0,0.9969,98.0,1520.0,1485.0,
KR,000150,두산,확정이탈,1254000.0,1250000.0,1300000.0,1251000.0,1.0392,89150.0,1186000.0,1095000.0,
KR,213500,한솔제지,확정,7640.0,7620.0,7690.0,7620.0,1.0092,200.0,7470.0,7440.0,
KR,081000,일진다이아,확정,9680.0,9630.0,9600.0,9640.0,0.9959,349.0,9320.0,9240.0,
KR,016740,두올,확정,3595.0,3580.0,3630.0,3580.0,1.014,164.0,3490.0,3330.0,
KR,097520,엠씨넥스,확정이탈,20350.0,20200.0,20350.0,20300.0,1.0025,663.0,19850.0,19500.0,20300.0
